age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
34-36m,cat_fixture_good,longlist,9,Fixture Product 9,Ember Fixture,https://www.gov.uk/help,200,true,,4.5,20,,Ages 2–5,,,good,,,Longlist rank 9 ordered by stage fit then evidence for the fixture bench.,Missed Top 5: weaker talk-back fit than ranks 1–5 for this fixture category.,Longlist 9 summary.,,2026-07-22
34-36m,cat_fixture_good,longlist,10,Fixture Product 10,Ember Fixture,https://www.gov.uk/search/all,200,true,,4.5,20,,Ages 2–5,,,good,,,Longlist rank 10 ordered by stage fit then evidence for the fixture bench.,Missed Top 5: weaker talk-back fit than ranks 1–5 for this fixture category.,Longlist 10 summary.,,2026-07-22
34-36m,cat_fixture_good,longlist,11,Fixture Product 11,Ember Fixture,https://www.gov.uk/,200,true,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 11 summary.,,2026-07-22
34-36m,cat_fixture_good,longlist,12,Fixture Product 12,Ember Fixture,https://www.gov.uk/browse/childcare-parenting,200,true,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 12 summary.,,2026-07-22
34-36m,cat_fixture_good,longlist,13,Fixture Product 13,Ember Fixture,https://www.gov.uk/child-car-seats-the-rules,200,true,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 13 summary.,,2026-07-22
34-36m,cat_fixture_good,longlist,14,Fixture Product 14,Ember Fixture,https://www.gov.uk/help,200,true,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 14 summary.,,2026-07-22
34-36m,cat_fixture_good,longlist,15,Fixture Product 15,Ember Fixture,https://www.gov.uk/search/all,200,true,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 15 summary.,,2026-07-22
34-36m,cat_fixture_good,skip,,Skipped Fixture 1,Skip Co,https://www.gov.uk/,200,true,,,,,Ages 5+,,,reject,false,skip,,,,Skipped fixture 1: wrong age or category for the brief.,2026-07-22
34-36m,cat_fixture_good,skip,,Skipped Fixture 2,Skip Co,https://www.gov.uk/browse/childcare-parenting,200,true,,,,,Ages 5+,,,reject,false,skip,,,,Skipped fixture 2: wrong age or category for the brief.,2026-07-22
34-36m,cat_fixture_good,skip,,Skipped Fixture 3,Skip Co,https://www.gov.uk/child-car-seats-the-rules,200,true,,,,,Ages 5+,,,reject,false,skip,,,,Skipped fixture 3: wrong age or category for the brief.,2026-07-22
34-36m,cat_fixture_good,skip,,Skipped Fixture 4,Skip Co,https://www.gov.uk/help,200,true,,,,,Ages 5+,,,reject,false,skip,,,,Skipped fixture 4: wrong age or category for the brief.,2026-07-22
34-36m,cat_fixture_good,skip,,Skipped Fixture 5,Skip Co,https://www.gov.uk/search/all,200,true,,,,,Ages 5+,,,reject,false,skip,,,,Skipped fixture 5: wrong age or category for the brief.,2026-07-22
